******************************************************************************************
MOLECULAR-DYNAMICS SIMULATION FOR copper nanorod (100) big PBC 1K
******************************************************************************************

 DATE AND TIME: 2012.06.03 18:00:11

MDSL   , IAVL, IPPL, ISCAL, IPD, TE  , NA , LAYER, IPBC, PP(1), PP(2), PP(3)
3000 , 100 , 500 , 2    , 0  , 1.0 , 147, 6    , 1   , 0.0  , 0.0  , 25.27

  INITIAL COORDINATES:
 1.805 , 0.0   , 1.805 , 3.61 , 3.61 , 3.61 , 2 , 3 , 7
 3.61  , 0.0   , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
 0.0   , 1.805 , 1.805 , 3.61 , 3.61 , 3.61 , 3 , 2 , 7
 1.805 , 1.805 , 0.0   , 3.61 , 3.61 , 3.61 , 2 , 2 , 7
 0.0   , 3.61  , 0.0   , 3.61 , 3.61 , 3.61 , 3 , 1 , 7
 3.61  , 7.22  , 0.0   , 3.61 , 3.61 , 3.61 , 1 , 1 , 7
******************************************************************************************

  NUMBER OF MOVING ATOMS: NA= 147
  NUMBER OF TOTAL ATOMS: NN= 147

  INITIAL COORDINATES OF ALL ATOMS: (X,Y,Z)

   113     3.61000       0.00000      18.05000   5.96752e-016  -3.66071e-001   1.00170e-014  -2.12925e+000
   114     3.61000       7.22000      18.05000   9.15941e-016   3.66071e-001   9.98843e-015  -2.12925e+000
   115     5.41500       7.22000      19.85500   1.73341e-001   4.07953e-001   6.43149e-015  -1.78772e+000
   116     1.80500       3.61000      19.85500   3.94290e-001   5.53377e-016   1.24553e-014  -3.20392e+000
   117     1.80500       0.00000      19.85500  -1.73341e-001  -4.07953e-001   6.38958e-015  -1.78772e+000
   118     3.61000       1.80500      19.85500   5.58581e-016   3.94290e-001   1.24067e-014  -3.20392e+000
   119     5.41500       0.00000      19.85500   1.73341e-001  -4.07953e-001   6.38985e-015  -1.78772e+000
   120     7.22000       1.80500      19.85500   4.07953e-001  -1.73341e-001   6.41154e-015  -1.78772e+000
   121     1.80500       7.22000      19.85500  -1.73341e-001   4.07953e-001   6.38178e-015  -1.78772e+000
   122     0.00000       5.41500      19.85500  -4.07953e-001   1.73341e-001   6.36958e-015  -1.78772e+000
   123     5.41500       3.61000      19.85500  -3.94290e-001   7.64417e-016   1.24345e-014  -3.20392e+000
   124     0.00000       1.80500      19.85500  -4.07953e-001  -1.73341e-001   6.45285e-015  -1.78772e+000
   125     3.61000       5.41500      19.85500   7.21645e-016  -3.94290e-001   1.23790e-014  -3.20392e+000
   126     7.22000       5.41500      19.85500   4.07953e-001   1.73341e-001   6.47399e-015  -1.78772e+000
   127     0.00000       3.61000      21.66000  -3.66071e-001   5.75928e-016   9.57340e-015  -2.12925e+000
   128     7.22000       3.61000      21.66000   3.66071e-001   9.02531e-016   9.63118e-015  -2.12925e+000
   129     3.61000       3.61000      21.66000   4.44089e-016   4.16334e-016   1.29341e-014  -3.45303e+000
   130     5.41500       1.80500      21.66000  -1.42292e-001   1.42292e-001   1.22957e-014  -2.86257e+000
   131     3.61000       0.00000      21.66000   5.86337e-016  -3.66071e-001   9.40220e-015  -2.12925e+000
   132     1.80500       1.80500      21.66000   1.42292e-001   1.42292e-001   1.21604e-014  -2.86257e+000
   133     5.41500       5.41500      21.66000  -1.42292e-001  -1.42292e-001   1.21847e-014  -2.86257e+000
   134     1.80500       5.41500      21.66000   1.42292e-001  -1.42292e-001   1.19939e-014  -2.86257e+000
   135     3.61000       7.22000      21.66000   9.22873e-016   3.66071e-001   9.53404e-015  -2.12925e+000
   136     3.61000       5.41500      23.46500   7.21645e-016  -3.94290e-001   1.21847e-014  -3.20392e+000
   137     1.80500       7.22000      23.46500  -1.73341e-001   4.07953e-001   6.35603e-015  -1.78772e+000
   138     5.41500       7.22000      23.46500   1.73341e-001   4.07953e-001   6.35603e-015  -1.78772e+000
   139     7.22000       5.41500      23.46500   4.07953e-001   1.73341e-001   6.46011e-015  -1.78772e+000
   140     3.61000       1.80500      23.46500   5.55112e-016   3.94290e-001   1.24298e-014  -3.20392e+000
   141     5.41500       0.00000      23.46500   1.73341e-001  -4.07953e-001   6.41244e-015  -1.78772e+000
   142     0.00000       5.41500      23.46500  -4.07953e-001   1.73341e-001   6.51215e-015  -1.78772e+000
   143     0.00000       1.80500      23.46500  -4.07953e-001  -1.73341e-001   6.53321e-015  -1.78772e+000
   144     7.22000       1.80500      23.46500   4.07953e-001  -1.73341e-001   6.46405e-015  -1.78772e+000
   145     1.80500       0.00000      23.46500  -1.73341e-001  -4.07953e-001   6.36038e-015  -1.78772e+000
   146     1.80500       3.61000      23.46500   3.94290e-001   5.55112e-016   1.20910e-014  -3.20392e+000
   147     5.41500       3.61000      23.46500  -3.94290e-001   6.99961e-016   1.24206e-014  -3.20392e+000

 EPOT=-3.53764e+002  EKIN=1.14898e-004  TCALC=8.88889e-001  SCFAC=1.26795e+000

#
# *********************   MD STEPS STARTED   *************************
#
#  MDS       EPAV          EKAV          ETAV         TCALAV
# -----  ------------  ------------  ------------  ------------
#
   100  -3.54741e+002  6.41388e-002  -3.54677e+002  1.21341e+000
   200  -3.56192e+002  5.43343e-002  -3.56137e+002  1.13782e+000
   300  -3.57092e+002  4.89338e-002  -3.57043e+002  1.09331e+000
   400  -3.57714e+002  4.57182e-002  -3.57669e+002  1.06637e+000
   500  -3.58142e+002  4.30874e-002  -3.58099e+002  1.04404e+000


  PERIODIC PRINTING OF COORDINATES, FORCES AND ENERGIES AT MDS: 500

     I       X             Y             Z            FX             FY             FZ             EE
  ------  ---------  ------------  ------------  ------------   ------------   ------------   ------------

     1     3.61067      -0.10751       0.00067   6.01949e-016  -5.03023e-002  -3.13569e-014  -2.18143e+000
     2     1.79863       1.79863       0.00067  -2.51706e-002  -2.51706e-002  -2.51778e-014  -2.93786e+000
     3     1.79863       5.42272       0.00067  -2.51706e-002   2.51706e-002  -2.56219e-014  -2.93786e+000
     4     5.42272       1.79863       0.00067   2.51706e-002  -2.51706e-002  -2.63956e-014  -2.93786e+000
     5     5.42272       5.42272       0.00067   2.51706e-002   2.51706e-002  -2.69229e-014  -2.93786e+000
     6    -0.10751       3.61067       0.00067  -5.03023e-002   2.16840e-015  -2.98295e-014  -2.18143e+000
     7     3.61067       3.61067       0.00067  -1.02696e-015  -9.61037e-016  -3.01703e-014  -3.34379e+000
     8     7.32886       3.61067       0.00067   5.03023e-002   1.96096e-015  -3.08364e-014  -2.18143e+000
     9     3.61067       7.32886       0.00067   2.17881e-015   5.03023e-002  -3.12389e-014  -2.18143e+000
    10     3.61067       1.79458       1.80567  -7.97973e-017  -3.22005e-002   2.30302e-014  -3.22683e+000
    11     3.61067       5.42677       1.80567   2.57086e-015   3.22005e-002   2.41543e-014  -3.22683e+000
    12     7.33100       1.74022       1.80567   4.83579e-002  -3.53468e-002   1.03528e-014  -1.80712e+000
    13     7.33100       5.48113       1.80567   4.83579e-002   3.53468e-002   1.12341e-014  -1.80712e+000
    14     1.79458       3.61067       1.80567  -3.22005e-002   5.49907e-016   2.30649e-014  -3.22683e+000
    15     1.74022       7.33100       1.80567  -3.53468e-002   4.83579e-002   1.07242e-014  -1.80712e+000
    16     5.48113      -0.10965       1.80567   3.53468e-002  -4.83579e-002   1.16252e-014  -1.80712e+000
    17     5.42677       3.61067       1.80567   3.22005e-002   2.35407e-015   2.41474e-014  -3.22683e+000
    18     5.48113       7.33100       1.80567   3.53468e-002   4.83579e-002   1.12532e-014  -1.80712e+000
    19     1.74022      -0.10965       1.80567  -3.53468e-002  -4.83579e-002   1.00665e-014  -1.80712e+000
    20    -0.10965       1.74022       1.80567  -4.83579e-002  -3.53468e-002   9.99281e-015  -1.80712e+000
    21    -0.10965       5.48113       1.80567  -4.83579e-002   3.53468e-002   1.01937e-014  -1.80712e+000
    22     5.42272       5.42272       3.61067   2.51706e-002   2.51706e-002  -2.77903e-014  -2.93786e+000
    23     1.79863       5.42272       3.61067  -2.51706e-002   2.51706e-002  -2.80123e-014  -2.93786e+000
    24    -0.10751       3.61067       3.61067  -5.03023e-002   3.42536e-015  -1.52447e-014  -2.18143e+000
